Problem_ID,y_Target,Newton_absTime,Newton_iterSteps,GMGF_absTime,GMGF_iterSteps
P_188756fcc1d8a479,-7500.54,0.001412,22,0.000831,22
P_603f7f1079581d1a,10000
-----
  3,0.000811,6,0.000774,6
P_3911f4366007559e,-5.43369,0.0673,1500,0.000667,8
P_2cbacc7d52362f03,-0.404009,0.000715,5,0.000262,4
P_2f528361dd3ea780,22.3926,0.000688,7,0.000299,6
P_3ee7ce4e6c5ecda1,-219.294,0.000888,11,0.000495,11
P_cd15df2047ce4a0,-2.75055,0.000757,5,0.000314,5
P_568fe0decd2380f0,-47.1567,0.001189,13,0.338495,1500
P_f3c151a17304418,2911.86,0.000454,8,0.000365,8
P_12e5b163956ba43f,2.17406,0.000955,11,0.002946,10
P_6b76d8d5b88f4bfd,0.89477,0.001037,7,0.151642,1500
P_53a1b953ad54c111,-5000,0.000687,8,0.001016,8
P_354050d2498557cd,0.111839,0.000884,6,0.00084,6
P_188756fcc1d8a479,-3334.78,0.001125,18,0.000704,18
P_2786bd386db8eee5,0.218224,0.000932,5,0.000453,4
P_5a895185bd87f531,25.8467,0.000685,6,0.000302,8
P_206cfe2f4188dd31,-2300.39,0.001166,11,0.000498,11
P_5480883cc302f1da,1.28485,0.000851,4,0.003154,33
P_b0ba1e9ddd17d6e,20.8307,0.000825,9,0.000344,9
P_45c1bd926bea83d3,8332.88,0.002888,65,0.002722,72
P_1ee73b659afbaf7a,14.0074,0.049299,1500,0.036322,1500
P_b0ba1e9ddd17d6e,66.4201,0.000667,9,0.000323,7
P_26c7c3501361a0b9,-5418.52,0.002805,64,0.000419,7
P_27dd7a931a8f192c,  20000
-(-----)
    3,0.000709,6,0.00031,6
P_77027e42c6f919b,4.86486,0.000777,6,0.000413,6
P_2bfdf4cc2f98921c,0.188797,0.000911,6,0.000803,5
P_62515f67253729bb,259.894,0.000861,6,0.011661,210
P_d8022592fb1499f,61.1322,0.000787,7,0.000282,7
P_6cced621490561d0,-1.08929,0.000842,5,0.000315,5
P_1272cfcf0115978f,-0.749066,0.000923,7,0.00066,7
P_6ad7b778ebb28eec,8.80562,0.000893,5,0.001822,5
P_5ea0998d17ad6fe8,11.8042,0.000854,3,0.343062,1500
P_7bbf2ce05cfd7908,8.21337,0.002786,42,0.017919,77
P_155c32f4ae9512d2,23.2359,0.049362,1500,0.036035,1500
P_57c602b0fd807a6b,  25000
-(-----)
    3,0.001054,16,0.001268,16
P_574c455d7f646d6b,1.19748,0.000871,6,0.000695,5
P_6f707b41db8b53c3,93.3022,0.000677,14,0.000456,14
P_6f707b41db8b53c3,102.42,0.000767,11,0.000368,11
P_475b723357e04ef1,5108.92,0.000585,5,0.000232,5
P_2ad19bb50783d979,5.36973,0.001143,8,0.001197,12
P_153f712003ed1885,-4.76404,0.001087,10,0.000915,8
P_73c7cdaed94f6434,0.102613,0.000766,4,0.000597,4
P_553e04c2afb72c54,-46.0073,0.074759,1500,0.008119,59
P_5a42e42dde67eb3d,-2.35742,0.00063,5,0.000578,5
P_2d5a883d2929d915,-0.84569,0.000599,8,0.001675,7
P_d0f43b667edc090,0.144494,0.000982,8,0.001928,8
P_62515f67253729bb,2967.63,0.000742,7,0.082467,1500
P_5d5ccb30b5a01d70,5622.94,0.000714,6,0.000247,6
P_475b723357e04ef1,10341.4,0.049603,1500,0.035706,1500
P_6767ed6c1274a770,-75.1098,0.008772,196,0.00905,125
P_2ce58c89c1b62990,36.7586,0.000775,7,0.000398,12
P_2cbacc7d52362f03,-0.784364,0.004468,109,0.000309,5
P_6cced621490561d0,-0.401983,0.000665,4,0.000263,4
P_5c94bc65d6a5254,-0.210547,0.000829,8,0.000404,6
P_777a7bfc79dff639,0.491705,0.004524,111,0.121387,1500
P_e7d0c17d5b13271,85.1971,0.049437,1500,0.036333,1500
P_5c1b7e9f28f0a96d,6943.56,0.000628,6,0.000243,6
P_155c32f4ae9512d2,6.32288,0.00052,8,0.000949,34
P_350acba1d8e0b206,-0.193914,0.000626,6,0.00056,5
P_542ca16c3c2f73f2,-9583.21,0.00118,20,0.000794,20
P_7f22a699008cf2ce,-418.176,0.001877,32,0.000376,8
P_52cb00726dafd64c,2371.02,0.000736,5,0.00023,5
P_5f0de3c500ec67,-4.13928,0.000659,4,0.000926,4
P_7c1c1ecd62dd9284,3745.99,0.000771,4,0.000464,15
P_13ec720b0e9a9c19,2.09277,0.000769,6,0.000454,6
P_7c86d04726b936e3,5000,0.001706,30,0.002522,30
P_62ec84005831faf4,-7.59015,0.000774,4,0.000292,4
P_4049e84ae5dda77c,16.545,0.000815,9,0.000366,9
P_655ffebc9665005d,3.92735,0.000881,5,0.000454,5
P_7f45f3e8963ab640,5585.91,0.000971,10,0.000345,10
P_2df6edb776c5a32a,199.821,0.000584,5,0.000219,5
P_1919539b83003370,0.262882,0.000791,7,0.000893,9
P_5a42e42dde67eb3d,-2.21878,0.000653,5,0.000583,5
P_2786bd386db8eee5,0.310632,0.000718,6,0.000534,5
P_7f6508557fcc0299,  2500
-(----)
   3,0.000706,5,0.000271,5
P_55d39f3bb8bd9cf1,0.365157,0.000741,6,0.001203,9
P_1dc3cede2eaff440,9.26916,0.002716,52,0.001669,7
P_4049e84ae5dda77c,22.7384,0.048491,1500,0.041266,1500
P_4bf36ea43239385d,16.0589,0.063539,1500,0.284955,1500
P_6a071ad852d09cba,  27500
-(-----)
    3,0.000915,9,0.073513,1500
P_7b1db6d9b3415b5c,-6250.33,0.014901,358,0.004375,51
P_7832d8e47253640c,1.18452,0.000923,12,0.000514,7
P_5848060912b7e0f0,0,0.00064,9,0.00074,8
P_1734ad262facf71f,2.57048,0.069098,1500,0.05318,1500
P_69656cf67cfbf3ba,0.331203,0.000604,6,0.000553,6
P_944be7bb2ee0d73,-0.867001,0.000865,5,0.000305,4
P_24f11bb7ac3b4e95,2.90468,0.048592,1500,0.041633,1500
P_467d1d96d1cd1751,4681.04,0.000865,9,0.000314,9
P_4b36bfa0817ba91e,77.5325,0.001319,10,0.000592,10
P_59e860a961394ca4,-3.02157,0.000722,4,0.000253,4
P_36dd4c16177b360e,-2918.41,0.001321,21,0.001349,21
P_655ffebc9665005d,2.40143,0.000428,5,0.000454,5
P_23c07aad09ee7328,111.869,0.00077,10,0.000386,9
P_234dcb8428bf30d6,6667.92,0.003763,78,0.00066,15
P_3a470049daf73850,0.0996094,0.000771,6,0.000503,5
P_14e4115c5c773209,-2409.65,0.001041,10,0.000617,10
P_42e52188c68bc46a,1.98625,0.00078,5,0.000462,5
P_2df6edb776c5a32a,562.061,0.00072,8,0.000294,8
P_4747865f8b74b87b,-2.8366,0.000813,6,0.000384,6
P_4dc45c43772b5583,-954.313,0.000986,8,0.000423,8
P_38a74833335b6c8f,0.104447,0.000719,6,0.000485,5
P_421a5658dcc43d99,-0.222969,0.001061,19,0.000573,7
P_2786bd386db8eee5,0.241326,0.000675,5,0.000517,5
P_534145c0190f67a,11.5451,0.000699,7,0.000398,7
P_53de151289f71833,1.58821,0.000737,7,0.00033,7
P_7722d21d2e809357,0.0737539,0.067525,1500,0.438182,1500
P_59c24d5718f26c0,-2.1685,0.000501,5,0.000304,5
P_5c8f8531e039a39b,47.9956,0.000571,7,0.000315,8
P_71c07a846ad6db09,68.7254,0.000569,10,0.000367,9
P_6f91b5f2d0457e24,27.2023,0.000777,6,0.000362,10
P_4670546aef927444,-27.1027,0.002395,26,0.007828,44
P_1a88481effcaeefe,-3.05005,0.000568,5,0.000421,5
P_26c7c3501361a0b9,-837.037,0.002188,48,0.000414,7
P_2aa89af5cf835080,3786.18,0.000744,8,0.000296,8
P_4ca971d3e04f36e5,-5831.01,0.000766,5,0.000337,5
P_79160d2961d745d,10.6918,0.001573,21,0.017688,187
P_603f7f1079581d1a,  10000
-(-----)
    3,0.000966,11,0.001255,11
P_7f45f3e8963ab640,5888.55,0.001018,12,0.00039,12
P_6ccfe50efde89153,56.0779,0.000706,8,0.000358,8
P_6c5fdc370e078504,0.329755,0.000597,6,0.0005,5
P_354050d2498557cd,0.140525,0.000676,5,0.000717,5
P_1ca47e554c4304af,-2.49054,0.000772,6,0.002917,5
P_3ee7ce4e6c5ecda1,-631.235,0.000691,13,0.000564,13
P_1552b659db70288b,5.17924,0.001297,26,0.000365,8
P_7638cd35d0a223b,-1.44755,0.000681,5,0.000329,5
P_e4f4d56b186673,-4169.09,0.001789,35,0.001242,35
P_24af5bff6329ef81,1.17915,0.049485,1500,0.07471,1500
P_353e7754b05b14c1,1.45777,0.000736,6,0.000255,5
P_3911f4366007559e,-5.16574,0.000783,10,0.000659,8
P_975a145410dd91,-2584.76,0.000872,7,0.000297,7
P_417e1ae80c9de3bc,14.3021,0.000985,12,0.172948,765
P_3983504992cfd8b3,-3.68751,0.000677,5,0.000499,5
P_4bf36ea43239385d,7.66575,0.000784,6,0.001776,6
P_64743a3061cd0b55,0.403171,0.000811,7,0.000327,5
P_2b92b1d049ed6cc6,-0.18554,0.000676,6,0.00058,5
P_61d71aa7f0bd7a04,-0.0353141,0.092373,1500,0.000368,3
P_377bc5186b4d74af,1.23886,0.060323,1500,0.00186,7
P_1dc3cede2eaff440,5.29911,0.000748,6,0.001906,8
P_75fce041f1f7c7da,475.196,0.000713,8,0.000292,8
P_3ff22c4a1272f025,14.9981,0.003014,62,0.36953,1500
P_17ccc4ca50ed7335,26.6855,0.000912,15,0.000306,8
P_26aaa5da622880bc,11.6842,0.00349,95,0.000439,12
P_71c07a846ad6db09,29.7819,0.049133,1500,0.038006,1500
P_544de9b76fc3d5e3,7500,0.000895,7,0.000741,6
P_188756fcc1d8a479,-5417.66,0.001275,21,0.00081,21
P_db073b00366ef6f,-0.137399,0.000795,6,0.000267,6
P_64682e05c8c9d6c4,6607.76,0.000506,6,0.000244,6
P_63513568e289a10d,0.0839531,0.000526,5,0.000767,5
P_227cde5f10e049cd,-2.38196,0.000941,6,0.00067,6
P_2acd27603a6bd44,  25000
-(-----)
    3,0.000879,11,0.000565,11
P_6cb470d3e1b79d99,32.6659,0.049076,1500,0.036017,1500
P_1a88481effcaeefe,-3.37094,0.000717,7,0.000444,5
P_36a36a8816353aef,0.0951285,0.000702,6,0.000569,6
P_475b723357e04ef1,1083.93,0.000779,9,0.00032,9
P_31497d9e80b7f2fb,-0.914426,0.000506,6,0.000348,5
P_7d598f8afb7b142b,15.6311,0.048991,1500,0.039547,1500
P_68d3745471fb7b25,0.389663,0.001007,7,0.169628,1500
P_124b93cdb1863207,-87.621,0.001268,13,0.001972,13
P_308839b4a2e23f1a,0.0815465,0.000458,6,0.000492,5
P_77548787e24ebf6a,1670.93,0.013081,276,0.015942,384
P_73c55251ad061a66,15.5401,0.000881,9,0.000376,9
P_78b855dc80263a31,-0.936915,0.013788,373,0.099836,1500
P_944be7bb2ee0d73,-0.820474,0.000789,4,0.00031,4
P_359cbbe6294ef42b,1.7152,0.000935,6,0.001943,8
P_2a61de3747f749c4,2501.33,0.00096,9,0.000712,9
P_6b0f998422a4ec30,0.100759,0.000718,6,0.000494,5
P_1553e6f365232b4a,33.5353,0.000659,6,0.000261,6
P_4aad8125b3b20791,-2.39965,0.000982,6,0.002415,6
P_64743a3061cd0b55,0.283392,0.000767,6,0.000333,5
P_49edea831eac2249,-622.664,0.000882,10,0.000969,10
P_6111d476e6d15e6,52.7868,0.00081,9,0.000245,5
P_d8022592fb1499f,22.7461,0.000476,6,0.000267,6
P_183f67c9b3beb5d2,0.412508,0.001365,28,0.000515,6
P_353e7754b05b14c1,1.24131,0.000582,5,0.043415,1500
P_5480883cc302f1da,-4.81821,0.075203,1500,0.066057,737
P_75589d8ad93e2435,-4137.53,0.001465,13,0.149195,1500
P_37740b63bf052cfa,32.7078,0.049221,1500,0.037783,1500
P_338e8a442fc6b355,61.9701,0.049633,1500,0.037809,1500
P_6767ed6c1274a770,-21.9409,0.000783,9,0.02186,284
P_4049e84ae5dda77c,12.8289,0.000718,9,0.000365,9
P_1ddb9c88d9b51f5f,53.8575,0.049627,1500,0.036175,1500
P_7cc965f904d9aed,1.5228,0.014782,293,0.002414,9
P_13df4c46a7fbd712,-2912.48,0.001838,39,0.000944,25
P_82ce5362797b520,35.1601,0.000766,6,0.00026,6
P_2c4a2fd8a510c8e3,-1.33531,0.000698,5,0.002398,5
P_4747865f8b74b87b,-4.64255,0.053421,1500,0.047725,1500
P_559856b1a0a34d54,2500
----
 3,0.000745,6,0.000725,6
P_5a42e42dde67eb3d,-1.52558,0.000653,5,0.000589,5
P_4ed865acd408df01,0.273337,0.001389,24,0.000735,6
P_55dbffa8b6830036,1.18175,0.000717,7,0.000322,6
P_3a7e758a0243d768,2.67864,0.000691,6,0.000633,6
P_155c32f4ae9512d2,130.352,0.000618,8,0.000299,8
P_b0ba1e9ddd17d6e,8.83353,0.000586,10,0.000366,10
P_49d5322b2f79676d,5782.36,0.00164,27,0.001712,27
P_b93a695eb979011,0.108464,0.000564,5,0.00032,4
P_338e8a442fc6b355,31.4018,0.000635,6,0.000264,6
P_7e12f8178121d2e,0.196564,0.001102,19,0.000687,6
P_49d5322b2f79676d,-1447.89,0.000658,6,0.000506,6
P_257725481df2601b,1607.46,0.050116,1500,0.035742,1500
P_130f7768a2912490,24.6393,0.048663,1500,0.038349,1500
P_4943b94ea7891dbd,-4.52573,0.000633,6,0.000693,6
P_251bc3336123a780,2.62745,0.000758,7,0.148932,1500
P_61ef17ca7ea757db,-0.601823,0.001397,27,0.00053,6
P_2f6295a2ad6e1d2b,2.38553,0.00075,13,0.000632,6
P_2cbacc7d52362f03,-0.564159,0.00062,6,0.000303,5
P_1b8dea08b27885d4,  27500
-(-----)
    3,0.000741,5,0.000274,5
P_6988dee1334a79b2,-2.32388,0.000788,5,0.000601,5
P_1b8dea08b27885d4,-5000,0.000629,5,0.000272,5
P_4e82c8dd7a879094,-0.0631708,0.000915,10,0.000962,3
